seed,split_type,feature,model_name,train_auc,train_accuracy,train_f1,val_auc,val_accuracy,val_f1,test_auc,test_accuracy,test_f1
0,scaffold,maccs,lgbm,0.9997377741683238,0.9901342833653055,0.9931947069943289,0.9574144486692016,0.9074074074074074,0.9345794392523364,0.974301532297363,0.9401840490797546,0.9620253164556962
0,scaffold,maccs,xgb,0.9996597285218004,0.9898602356810084,0.993006993006993,0.958836171267978,0.91005291005291,0.9368029739776952,0.970809193784179,0.9263803680981595,0.9529411764705882
0,scaffold,maccs,rf,0.9993460378072717,0.9901342833653055,0.993168880455408,0.9719623078194743,0.9126984126984127,0.9385474860335196,0.9703963398126592,0.941717791411043,0.9631782945736435
0,scaffold,morgan,rf,0.999554159531334,0.9912304741024939,0.9939278937381404,0.9616796164655315,0.9126984126984127,0.9394495412844037,0.9640614001840924,0.9340490797546013,0.9585342333654774
0,scaffold,morgan,xgb,0.997767027335582,0.9813647574677994,0.9872036130974784,0.9446520085964623,0.9021164021164021,0.9313543599257885,0.9627145487032325,0.9309815950920245,0.9559255631733594
0,scaffold,morgan,lr,0.9977187672256546,0.9778021375719376,0.9847601128880527,0.9423706397751694,0.91005291005291,0.9368029739776952,0.9567992311440792,0.9217791411042945,0.9499509322865555
0,scaffold,maccs,svm,0.9748404588631577,0.9260071252397917,0.9502579218865144,0.9426351463051744,0.9074074074074074,0.9357798165137615,0.9555268287400508,0.9279141104294478,0.9541463414634146
0,scaffold,descriptors_basic,lgbm,0.9998018696268212,0.9912304741024939,0.9939554212315829,0.9639609852868243,0.9074074074074074,0.9340866290018832,0.95426796253181,0.9325153374233128,0.9569471624266145
0,scaffold,morgan,lgbm,0.9998018696268212,0.9912304741024939,0.9939668174962293,0.9484542899652836,0.9047619047619048,0.933579335793358,0.95426796253181,0.9401840490797546,0.9622458857696031
0,scaffold,descriptors_basic,rf,0.9995375701185465,0.9912304741024939,0.9939278937381404,0.9687221028269135,0.917989417989418,0.9426987060998152,0.9541935134549786,0.9325153374233128,0.9573643410852714
0,scaffold,fp2,rf,0.9994659340178729,0.9909564264181968,0.993739328400683,0.9570176888741939,0.91005291005291,0.9377289377289377,0.9515607233743028,0.9279141104294478,0.9549376797698945
0,scaffold,morgan,svm,0.9918792939244291,0.9580707043025486,0.9715771874419469,0.9413456769714003,0.9047619047619048,0.9338235294117647,0.9512223184796145,0.9309815950920245,0.9564375605033882
0,scaffold,fp2,lgbm,0.9997864113103601,0.9909564264181968,0.9937747594793436,0.9465366176227477,0.8968253968253969,0.9281767955801105,0.9510801884238453,0.9340490797546013,0.9585342333654774
0,scaffold,fp2,xgb,0.9997860342782512,0.9909564264181968,0.9937817976257772,0.9527855843941146,0.8968253968253969,0.9281767955801105,0.9510666522280578,0.9340490797546013,0.9585342333654774
0,scaffold,fp2,svm,0.9896525422898066,0.9506714168265278,0.9666790077748982,0.9457100347164821,0.8888888888888888,0.9233576642335767,0.9470464020791596,0.9248466257668712,0.9529298751200769
0,scaffold,maccs,knn,0.9801066548429398,0.9262811729240887,0.9501759585108354,0.9365184327988099,0.9047619047619048,0.9333333333333333,0.9448061616763225,0.9202453987730062,0.94921875
0,scaffold,descriptors_basic,xgb,0.9997996074341683,0.9912304741024939,0.9939577039274925,0.9631013390643081,0.8994708994708994,0.9291044776119403,0.9445083653689966,0.9340490797546013,0.9582118561710399
0,scaffold,fp2,lr,0.9996536960080594,0.9898602356810084,0.9930149141023221,0.9262357414448669,0.9153439153439153,0.9405204460966543,0.9414694894146949,0.9202453987730062,0.94831013916501
77,scaffold,morgan,rf,0.9995788282531126,0.9920786670308659,0.9945127719962157,0.9396718791766907,0.8877005347593583,0.9219330855018587,0.9409334364438334,0.8913043478260869,0.9343339587242027
0,scaffold,maccs,lr,0.9273517566302982,0.8865442587010139,0.9242590559824369,0.8878492312778972,0.8809523809523809,0.9168207024029574,0.9371040662732145,0.9049079754601227,0.939453125
77,scaffold,morgan,lgbm,0.9998434152955228,0.9923518164435946,0.9947289156626506,0.9201416733493718,0.8850267379679144,0.9193245778611632,0.9291616543506902,0.8928571428571429,0.9340974212034384
77,scaffold,morgan,xgb,0.9981635865446278,0.9825184375853592,0.987987987987988,0.916566426089281,0.8796791443850267,0.9152542372881356,0.9284599301139943,0.8835403726708074,0.9282296650717703
0,scaffold,descriptors_basic,knn,0.9749684612640982,0.9155933132365032,0.9428571428571428,0.9127128450983633,0.8597883597883598,0.900562851782364,0.9223834533542693,0.9003067484662577,0.9365853658536586
0,scaffold,fp2,knn,0.9773939088200629,0.9164154562893944,0.9432980107826734,0.924747892213589,0.8756613756613757,0.9111531190926276,0.9196153013157182,0.9171779141104295,0.947265625
77,scaffold,morgan,lr,0.9982842950399645,0.9797869434580716,0.9861267341582303,0.8980219192729219,0.8850267379679144,0.9184060721062619,0.9151271696167727,0.8990683229813664,0.9376797698945349
0,scaffold,morgan,knn,0.9799183273045899,0.9155933132365032,0.943857090776522,0.9352289634650356,0.8888888888888888,0.9239130434782609,0.9130367101629758,0.9171779141104295,0.9484732824427481
77,scaffold,morgan,svm,0.9915175188013758,0.962032231630702,0.9741587655698085,0.9151296444800856,0.8823529411764706,0.917910447761194,0.9016941628000229,0.8944099378881988,0.9356060606060606
0,scaffold,descriptors_basic,lr,0.8581077361710278,0.8446149630035626,0.8992358272614182,0.9164159365184328,0.8783068783068783,0.9169675090252708,0.8976731279441226,0.8819018404907976,0.9260326609029779
0,scaffold,descriptors_basic,svm,0.9149404251564872,0.8807892573307755,0.9221685453569511,0.9235245495123161,0.8756613756613757,0.9156193895870736,0.891365260707131,0.8849693251533742,0.9263984298331698
77,scaffold,morgan,knn,0.9831619123215345,0.9229718656104889,0.9485401459854015,0.8659783480352847,0.8556149732620321,0.9007352941176471,0.8556381394283096,0.8959627329192547,0.9373246024321796
